Freq [GHz],RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'
12.83,0.050653785
12.84,0.051171093
12.85,0.051578784
12.86,0.051875517
12.87,0.052060457
12.88,0.052133277
12.89,0.052094167
12.9,0.051943795
12.91,0.051683333
12.92,0.0513144
12.93,0.050839082
12.94,0.050259907
12.95,0.049579815
12.96,0.048802158
12.97,0.047930657
12.98,0.046969411
12.99,0.045922856
13,0.044795746
13.01,0.043593141
13.02,0.042320382
13.03,0.040983064
13.04,0.03958702
13.05,0.038138301
13.06,0.036643149
13.07,0.035107972
13.08,0.033539328
13.09,0.031943894
13.1,0.030328445
13.11,0.028699833
13.12,0.027064942
13.13,0.025430684
13.14,0.023803955
13.15,0.02219161
13.16,0.02060043
13.17,0.019037093
13.18,0.017508139
13.19,0.016019937
13.2,0.014578654
13.21,0.013190215
13.22,0.011860274
13.23,0.010594176
13.24,0.009396927
13.25,0.008273157
13.26,0.00722709
13.27,0.006262516
13.28,0.005382759
13.29,0.004590654
13.3,0.003888521
13.31,0.00327815
13.32,0.002760775
13.33,0.002337076
13.34,0.002007156
13.35,0.001770546
13.36,0.001626204
13.37,0.001572521
13.38,0.001607331
13.39,0.001727934
13.4,0.001931107
13.41,0.00221314
13.42,0.002569866
13.43,0.002996693
13.44,0.003488647
13.45,0.004040413
13.46,0.004646386
13.47,0.005300711
13.48,0.00599734
13.49,0.00673008
13.5,0.007492637
13.51,0.008278678
13.52,0.009081862
13.53,0.009895903
13.54,0.010714601
13.55,0.011531887
13.56,0.012341856
13.57,0.013138807
13.58,0.013917262
13.59,0.014671997
13.6,0.015398059
13.61,0.016090783
13.62,0.016745798
13.63,0.017359049
13.64,0.017926782
13.65,0.01844557
13.66,0.018912284
13.67,0.019324118
13.68,0.019678574
13.69,0.019973457
13.7,0.020206875
13.71,0.02037725
13.72,0.020483301
13.73,0.020524064
13.74,0.020498884
13.75,0.020407443
13.76,0.020249758
13.77,0.020026207
13.78,0.019737538
13.79,0.019384906
13.8,0.018969879
13.81,0.018494475
13.82,0.017961185
13.83,0.017372982
13.84,0.016733359
13.85,0.01604634
13.86,0.015316492
13.87,0.014548935
13.88,0.013749345
13.89,0.012923956
13.9,0.012079531
13.91,0.011223364
13.92,0.010363242
13.93,0.009507405
13.94,0.00866451
13.95,0.007843572
13.96,0.007053903
13.97,0.006305044
13.98,0.005606686
13.99,0.004968585
14,0.004400477
14.01,0.003911979
14.02,0.00351249
14.03,0.003211094
14.04,0.003016461
14.05,0.002936745
14.06,0.00297949
14.07,0.003151536
14.08,0.003458942
14.09,0.003906906
14.1,0.004499702
14.11,0.005240627
14.12,0.006131961
14.13,0.007174945
14.14,0.008369758
14.15,0.009715532
14.16,0.011210354
14.17,0.012851308
14.18,0.014634498
14.19,0.016555112
14.2,0.018607469
14.21,0.02078509
14.22,0.02308076
14.23,0.025486607
14.24,0.027994169
14.25,0.030594468
14.26,0.033278078
14.27,0.036035201
14.28,0.038855719
14.29,0.041729257
14.3,0.044645243
14.31,0.047592964
14.32,0.05056159
14.33,0.053540248
14.34,0.056518035
14.35,0.05948408
14.36,0.062427568
14.37,0.065337771
14.38,0.06820409
14.39,0.07101609
14.4,0.073763533
14.41,0.07643641
14.42,0.079024983
14.43,0.081519805
14.44,0.083911779
14.45,0.086192167
14.46,0.088352652
14.47,0.090385337
14.48,0.092282802
14.49,0.094038138
14.5,0.09564495
14.51,0.097097388
14.52,0.098390191
14.53,0.099518696
14.54,0.100478837
14.55,0.101267198
14.56,0.101880982
14.57,0.102318089
14.58,0.102577054
14.59,0.102657112
14.6,0.102558174
14.61,0.10228084
14.62,0.101826409
14.63,0.101196864
14.64,0.100394869
14.65,0.099423764
14.66,0.098287543
14.67,0.096990836
14.68,0.095538894
14.69,0.093937552
14.7,0.09219319
14.71,0.090312717
14.72,0.088303531
14.73,0.086173467
14.74,0.08393078
14.75,0.081584106
14.76,0.079142433
14.77,0.076615082
14.78,0.074011663
14.79,0.071342086
14.8,0.068616548
14.81,0.065845506
14.82,0.063039683
14.83,0.060210068
14.84,0.057367889
14.85,0.054524621
14.86,0.051691946
14.87,0.048881733
14.88,0.046105994
14.89,0.04337681
14.9,0.040706278
14.91,0.038106415
14.92,0.035589051
14.93,0.033165721
14.94,0.030847539
14.95,0.028645066
14.96,0.026568181
14.97,0.024625943
14.98,0.022826476
14.99,0.021176846
15,0.01968297
15.01,0.018349539
15.02,0.017179955
15.03,0.016176304
15.04,0.015339352
15.05,0.014668561
15.06,0.014162138
15.07,0.013817096
15.08,0.013629354
15.09,0.013593823
15.1,0.013704537
15.11,0.013954758
15.12,0.014337107
15.13,0.014843679
15.14,0.015466149
15.15,0.016195879
15.16,0.017023999
15.17,0.017941474
15.18,0.018939167
15.19,0.020007873
15.2,0.021138345
15.21,0.022321304
15.22,0.023547448
15.23,0.024807438
15.24,0.026091898
15.25,0.027391396
15.26,0.028696444
15.27,0.029997485
15.28,0.031284911
15.29,0.032549072
15.3,0.03378029
15.31,0.034968937
15.32,0.03610544
15.33,0.037180389
15.34,0.038184602
15.35,0.039109209
15.36,0.039945763
15.37,0.040686331
15.38,0.041323607
15.39,0.041851005
15.4,0.042262754
15.41,0.042553986
15.42,0.042720793
15.43,0.042760299
15.44,0.042670683
15.45,0.042451204
15.46,0.042102204
15.47,0.041625097
15.48,0.041022338
15.49,0.040297389
15.5,0.039454664
15.51,0.03849948
15.52,0.037437989
15.53,0.036277116
15.54,0.035024495
15.55,0.033688388
15.56,0.032277628
15.57,0.030801536
15.58,0.029269849
15.59,0.027692651
15.6,0.026080276
15.61,0.024443248
15.62,0.022792187
15.63,0.021137734
15.64,0.019490472
15.65,0.017860843
15.66,0.016259083
15.67,0.014695159
15.68,0.013178698
15.69,0.011718948
15.7,0.010324731
15.71,0.009004401
15.72,0.007765819
15.73,0.006616315
